Nr notowania;Rok notowania;Pozycja;Tytuł;Artysta;Punkty
3;1982;12;Flying Colours;Jethro Tull;19
3;1982;13;Lokomotywa z ogłoszenia;Perfect;18
3;1982;14;Chariots of Fire;Vangelis;17
3;1982;15;Golden Brown;The Stranglers;16
3;1982;16;O jeden dreszcz;Lombard;15
3;1982;17;That Girl;Stevie Wonder;14
3;1982;18;Słodka jest noc;Kombi;13
3;1982;19;Kurza twarz;Cytrus;12
3;1982;20;400 Dragons;Adrian John Loveridge;11
3;1982;21;Brylanty;Izabela Trojanowska;10
3;1982;22;Angel of Death;Thin Lizzy;9
3;1982;23;Empty Garden;Elton John;8
3;1982;24;Rainbow Bridge;Greg Gee;7
3;1982;25;Ballada o malarzu;Dżem;6
3;1982;26;The Beatles Movie Medley;The Beatles;5
3;1982;27;The Lion Sleeps Tonight;Tight Fit;4
3;1982;28;Piosenka bez sensu;Exodus;3
3;1982;29;Music;John Miles;2
3;1982;30;Don't Talk to Strangers;Rick Springfield;1
4;1982;1;51;TSA;30
4;1982;2;I Love Rock'n Roll;Joan Jett & the Blackhearts;29
4;1982;3;O! Nie rób tyle hałasu;Maanam;28
4;1982;4;Ebony and Ivory;Paul McCartney & Stevie Wonder;27
4;1982;5;For Those About to Rock (We Salute You);AC/DC;26
4;1982;6;I'll Find My Way Home;Jon & Vangelis;25
4;1982;7;Brylanty;Izabela Trojanowska;24
4;1982;8;Lokomotywa z ogłoszenia;Perfect;23
4;1982;9;Bez satysfakcji;Budka Suflera;22
4;1982;10;Chariots of Fire;Vangelis;21
4;1982;11;Pepe wróć;Perfect;20
4;1982;12;The Visitors (Crackin' Up);ABBA;19
4;1982;13;Opanuj się;Perfect;18
4;1982;14;Golden Brown;The Stranglers;17
4;1982;15;Body Language;Queen;16
4;1982;16;Empty Garden;Elton John;15
4;1982;17;Flying Colours;Jethro Tull;14
4;1982;18;Kurza twarz;Cytrus;13
4;1982;19;400 Dragons;Adrian John Loveridge;12
4;1982;20;Kto zrobił mi ten żart;Budka Suflera;11
4;1982;21;Angel of Death;Thin Lizzy;10
4;1982;22;Rainbow Bridge;Greg Gee;9
4;1982;23;Classic;Adrian Gurvitz;8
4;1982;24;Ballada o malarzu;Dżem;7
4;1982;25;The Beatles Movie Medley;The Beatles;6
4;1982;26;The Lion Sleeps Tonight;Tight Fit;5
4;1982;27;When the Smoke Is Going Down;Scorpions;4
4;1982;28;The Number of the Beast;Iron Maiden;3
4;1982;29;Chodzą ludzie;TSA;2
4;1982;30;Paranoja jest goła;Maanam;1
5;1982;1;51;TSA;30
5;1982;2;I Love Rock'n Roll;Joan Jett & the Blackhearts;29
5;1982;3;O! Nie rób tyle hałasu;Maanam;28
5;1982;4;Brylanty;Izabela Trojanowska;27
5;1982;5;Ebony and Ivory;Paul McCartney & Stevie Wonder;26
5;1982;6;For Those About to Rock (We Salute You);AC/DC;25
5;1982;7;Lokomotywa z ogłoszenia;Perfect;24
5;1982;8;I'll Find My Way Home;Jon & Vangelis;23
5;1982;9;Chariots of Fire;Vangelis;22
5;1982;10;Body Language;Queen;21
5;1982;11;Bez satysfakcji;Budka Suflera;20
5;1982;12;Paranoja jest goła;Maanam;19
5;1982;13;Golden Brown;The Stranglers;18
5;1982;14;Empty Garden;Elton John;17
5;1982;15;Pepe wróć;Perfect;16
5;1982;16;400 Dragons;Adrian John Loveridge;15
5;1982;17;When the Smoke Is Going Down;Scorpions;14
5;1982;18;The Visitors (Crackin' Up);ABBA;13
5;1982;19;Kto zrobił mi ten żart;Budka Suflera;12
5;1982;20;Angel of Death;Thin Lizzy;11
5;1982;21;Rainbow Bridge;Greg Gee;10
5;1982;22;Classic;Adrian Gurvitz;9
5;1982;23;The Beatles Movie Medley;The Beatles;8
5;1982;24;Chodzą ludzie;TSA;7
5;1982;25;The Lion Sleeps Tonight;Tight Fit;6
5;1982;26;The Number of the Beast;Iron Maiden;5
5;1982;27;Niedawno tak, pewnego dnia;Exodus;4
5;1982;28;Nic nie boli;2 plus 1;3
5;1982;29;Ballada o malarzu;Dżem;2
5;1982;30;Heat of the Moment;Asia;1
6;1982;1;When the Smoke Is Going Down;Scorpions;30
6;1982;2;Paranoja jest goła;Maanam;29
6;1982;3;51;TSA;28
6;1982;4;Ebony and Ivory;Paul McCartney & Stevie Wonder;27
6;1982;5;I Love Rock'n Roll;Joan Jett & the Blackhearts;26
6;1982;6;O! Nie rób tyle hałasu;Maanam;25
6;1982;7;Brylanty;Izabela Trojanowska;24
6;1982;8;Body Language;Queen;23
6;1982;9;Chariots of Fire;Vangelis;22
6;1982;10;For Those About to Rock (We Salute You);AC/DC;21
6;1982;11;Lokomotywa z ogłoszenia;Perfect;20
6;1982;12;Chodzą ludzie;TSA;19
6;1982;13;Golden Brown;The Stranglers;18
6;1982;14;Empty Garden;Elton John;17
6;1982;15;I'll Find My Way Home;Jon & Vangelis;16
6;1982;16;Bez satysfakcji;Budka Suflera;15
6;1982;17;Angel of Death;Thin Lizzy;14
6;1982;18;Kto zrobił mi ten żart;Budka Suflera;13
6;1982;19;Classic;Adrian Gurvitz;12
6;1982;20;Rainbow Bridge;Greg Gee;11
6;1982;21;The Beatles Movie Medley;The Beatles;10
6;1982;22;Nic nie boli;2 plus 1;9
6;1982;23;The Number of the Beast;Iron Maiden;8
6;1982;24;The Lion Sleeps Tonight;Tight Fit;7
6;1982;25;Ballada o malarzu;Dżem;6
6;1982;26;Kombinat;Republika;5
6;1982;27;Niedawno tak, pewnego dnia;Exodus;4
6;1982;28;Heat of the Moment;Asia;3
6;1982;29;View from a Bridge;Kim Wilde;2
6;1982;30;Smak wina;Kombi;1
7;1982;1;When the Smoke Is Going Down;Scorpions;30
7;1982;2;Paranoja jest goła;Maanam;29
7;1982;3;Body Language;Queen;28
7;1982;4;51;TSA;27
7;1982;5;Chodzą ludzie;TSA;26
7;1982;6;Ebony and Ivory;Paul McCartney & Stevie Wonder;25
7;1982;7;I Love Rock'n Roll;Joan Jett & the Blackhearts;24
7;1982;8;Lokomotywa z ogłoszenia;Perfect;23
7;1982;9;Kombinat;Republika;22
7;1982;10;Brylanty;Izabela Trojanowska;21
7;1982;11;The Beatles Movie Medley;The Beatles;20
7;1982;12;For Those About to Rock (We Salute You);AC/DC;19
7;1982;13;Golden Brown;The Stranglers;18
7;1982;14;Chariots of Fire;Vangelis;17
7;1982;15;O! Nie rób tyle hałasu;Maanam;16
7;1982;16;Empty Garden;Elton John;15
7;1982;17;Kto zrobił mi ten żart;Budka Suflera;14
7;1982;17;Angel of Death;Thin Lizzy;14
7;1982;18;Classic;Adrian Gurvitz;13
7;1982;19;The Number of the Beast;Iron Maiden;12
7;1982;20;Rainbow Bridge;Greg Gee;11
7;1982;21;Nic nie boli;2 plus 1;10
7;1982;22;Ballada o malarzu;Dżem;9
7;1982;23;Heat of the Moment;Asia;8
7;1982;24;View from a Bridge;Kim Wilde;7
7;1982;25;Niedawno tak, pewnego dnia;Exodus;6
7;1982;26;W drodze do jej serca;Bajm;5
7;1982;27;Kłopoty to jej specjalność;Martyna Jakubowicz;4
7;1982;28;No One Like You;Scorpions;3
7;1982;29;Smak wina;Kombi;2
7;1982;30;Zamiast kołysanki;Krzysztof Cugowski;1
8;1982;1;When the Smoke Is Going Down;Scorpions;30
8;1982;2;Paranoja jest goła;Maanam;29
8;1982;3;Kombinat;Republika;28
8;1982;4;Body Language;Queen;27
8;1982;5;Chodzą ludzie;TSA;26
8;1982;6;The Beatles Movie Medley;The Beatles;25
8;1982;7;51;TSA;24
8;1982;8;Brylanty;Izabela Trojanowska;23
8;1982;9;Chariots of Fire;Vangelis;22
8;1982;10;Lokomotywa z ogłoszenia;Perfect;21
8;1982;11;Ebony and Ivory;Paul McCartney & Stevie Wonder;20
8;1982;12;I Love Rock'n Roll;Joan Jett & the Blackhearts;19
8;1982;13;For Those About to Rock (We Salute You);AC/DC;18
8;1982;14;Kto zrobił mi ten żart;Budka Suflera;17
8;1982;15;Rainbow Bridge;Greg Gee;16
8;1982;16;Angel of Death;Thin Lizzy;15
8;1982;17;Ballada o malarzu;Dżem;14
8;1982;18;The Number of the Beast;Iron Maiden;13
8;1982;19;Heat of the Moment;Asia;12
8;1982;20;Nic nie boli;2 plus 1;11
8;1982;21;View from a Bridge;Kim Wilde;10
8;1982;22;W drodze do jej serca;Bajm;9
8;1982;23;Niedawno tak, pewnego dnia;Exodus;8
8;1982;24;Kłopoty to jej specjalność;Martyna Jakubowicz;7
8;1982;25;Rosanna;Toto;6
8;1982;26;Zamiast kołysanki;Krzysztof Cugowski;5
8;1982;27;No One Like You;Scorpions;4
8;1982;28;Smak wina;Kombi;3
8;1982;29;Stone Cold;Rainbow;2
8;1982;30;Surrender;Jon Anderson;1
9;1982;1;Paranoja jest goła;Maanam;30
9;1982;2;When the Smoke Is Going Down;Scorpions;29
9;1982;3;Kombinat;Republika;28
9;1982;4;The Beatles Movie Medley;The Beatles;27
9;1982;5;Body Language;Queen;26
9;1982;6;Chodzą ludzie;TSA;25
9;1982;7;Lokomotywa z ogłoszenia;Perfect;24
9;1982;8;Heat of the Moment;Asia;23
9;1982;9;51;TSA;22
9;1982;10;Nic nie boli;2 plus 1;21
9;1982;11;The Number of the Beast;Iron Maiden;20
9;1982;12;Chariots of Fire;Vangelis;19
9;1982;13;Kto zrobił mi ten żart;Budka Suflera;18
9;1982;14;Brylanty;Izabela Trojanowska;17
9;1982;15;Rainbow Bridge;Greg Gee;16
9;1982;16;For Those About to Rock (We Salute You);AC/DC;15
9;1982;17;Ballada o malarzu;Dżem;14
9;1982;18;I Love Rock'n Roll;Joan Jett & the Blackhearts;13
9;1982;19;View from a Bridge;Kim Wilde;12
9;1982;20;W drodze do jej serca;Bajm;11
9;1982;21;Niedawno tak, pewnego dnia;Exodus;10
9;1982;22;Kłopoty to jej specjalność;Martyna Jakubowicz;9
9;1982;23;Ostatni taniec;Lombard;8
9;1982;24;España Forever;Maanam;7
9;1982;25;Rosanna;Toto;6
9;1982;26;Stone Cold;Rainbow;5
9;1982;27;No One Like You;Scorpions;4
9;1982;28;Smak wina;Kombi;3
9;1982;29;Surrender;Jon Anderson;2
9;1982;30;When All Is Said and Done;ABBA;1
10;1982;1;When the Smoke Is Going Down;Scorpions;30
10;1982;2;Paranoja jest goła;Maanam;29
10;1982;3;Kombinat;Republika;28
10;1982;4;Body Language;Queen;27
10;1982;5;The Beatles Movie Medley;The Beatles;26
10;1982;6;Heat of the Moment;Asia;25
10;1982;7;Ostatni taniec;Lombard;24
10;1982;8;Chariots of Fire;Vangelis;23
10;1982;9;Nic nie boli;2 plus 1;22
10;1982;10;The Number of the Beast;Iron Maiden;21
10;1982;11;Chodzą ludzie;TSA;20
10;1982;12;No One Like You;Scorpions;19
10;1982;13;View from a Bridge;Kim Wilde;18
10;1982;14;Surrender;Jon Anderson;17
10;1982;15;W drodze do jej serca;Bajm;16
10;1982;16;Stone Cold;Rainbow;15
10;1982;17;Blue Eyes;Elton John;14
10;1982;18;Las Palabras de Amor (The Words of Love);Queen;13
10;1982;19;Kłopoty to jej specjalność;Martyna Jakubowicz;12
10;1982;20;Kto zrobił mi ten żart;Budka Suflera;11
10;1982;21;Staying Power;Queen;10
10;1982;22;España Forever;Maanam;9
10;1982;23;Rosanna;Toto;8
10;1982;24;Rainbow Bridge;Greg Gee;7
10;1982;25;For Those About to Rock (We Salute You);AC/DC;6
10;1982;26;Brylanty;Izabela Trojanowska;5
10;1982;27;Niedawno tak, pewnego dnia;Exodus;4
10;1982;28;Tug of War;Paul McCartney;3
10;1982;29;Flash in the Night;Secret Service;2
10;1982;30;When All Is Said and Done;ABBA;1
11;1982;1;Kombinat;Republika;30
11;1982;2;When the Smoke Is Going Down;Scorpions;29
11;1982;3;Paranoja jest goła;Maanam;28
11;1982;4;The Beatles Movie Medley;The Beatles;27
11;1982;5;Ostatni taniec;Lombard;26
11;1982;5;España Forever;Maanam;26
11;1982;6;Heat of the Moment;Asia;25
11;1982;7;Body Language;Queen;24
11;1982;8;Abracadabra;The Steve Miller Band;23
11;1982;9;Nic nie boli;2 plus 1;22
11;1982;10;No One Like You;Scorpions;21
11;1982;11;The Number of the Beast;Iron Maiden;20
11;1982;12;Kłopoty to jej specjalność;Martyna Jakubowicz;19
11;1982;13;Blue Eyes;Elton John;18
11;1982;14;Stone Cold;Rainbow;17
11;1982;15;Chariots of Fire;Vangelis;16
11;1982;16;Chodzą ludzie;TSA;15
11;1982;17;Las Palabras de Amor (The Words of Love);Queen;14
11;1982;18;W drodze do jej serca;Bajm;13
11;1982;19;View from a Bridge;Kim Wilde;12
11;1982;20;When All Is Said and Done;ABBA;11
11;1982;21;Karmazynowa noc;Izabela Trojanowska;10
11;1982;22;Surrender;Jon Anderson;9
11;1982;23;Rosanna;Toto;8
11;1982;24;Tug of War;Paul McCartney;7
11;1982;25;Staying Power;Queen;6
11;1982;26;Ribbon in the Sky;Stevie Wonder;5
11;1982;27;Five Miles Out;Mike Oldfield;4
11;1982;28;Cat People (Putting Out Fire);David Bowie;3
11;1982;29;Play the Game Tonight;Kansas;2
11;1982;30;Flash in the Night;Secret Service;1
12;1982;1;España Forever;Maanam;30
12;1982;2;Ostatni taniec;Lombard;29
12;1982;3;Abracadabra;The Steve Miller Band;28
12;1982;4;The Beatles Movie Medley;The Beatles;27
12;1982;5;When the Smoke Is Going Down;Scorpions;26
12;1982;5;No One Like You;Scorpions;26
12;1982;6;Paranoja jest goła;Maanam;25
12;1982;7;Kombinat;Republika;24
12;1982;8;Las Palabras de Amor (The Words of Love);Queen;23
12;1982;9;Nic nie boli;2 plus 1;22
12;1982;10;Heat of the Moment;Asia;21
12;1982;11;Kłopoty to jej specjalność;Martyna Jakubowicz;20
12;1982;12;Stone Cold;Rainbow;19
12;1982;13;Body Language;Queen;18
12;1982;14;Blue Eyes;Elton John;17
12;1982;15;When All Is Said and Done;ABBA;16
12;1982;16;Tug of War;Paul McCartney;15
12;1982;17;Karmazynowa noc;Izabela Trojanowska;14
12;1982;18;The Number of the Beast;Iron Maiden;13
12;1982;19;Five Miles Out;Mike Oldfield;12
12;1982;20;Surrender;Jon Anderson;11
12;1982;21;Rosanna;Toto;10
12;1982;22;Cat People (Putting Out Fire);David Bowie;9
12;1982;23;Mała Lady Punk;Lady Pank;8
12;1982;24;Play the Game Tonight;Kansas;7
12;1982;25;Staying Power;Queen;6
12;1982;26;Ribbon in the Sky;Stevie Wonder;5
12;1982;27;Hungry Like the Wolf;Duran Duran;4
12;1982;28;Oprócz;Maanam;3
12;1982;29;Hold Me;Fleetwood Mac;2
12;1982;30;Keep the Fire Burning;REO Speedwagon;1
13;1982;1;Abracadabra;The Steve Miller Band;30
13;1982;2;España Forever;Maanam;29
13;1982;3;No One Like You;Scorpions;28
13;1982;3;Las Palabras de Amor (The Words of Love);Queen;28
13;1982;4;Ostatni taniec;Lombard;27
13;1982;5;Karmazynowa noc;Izabela Trojanowska;26
13;1982;6;The Beatles Movie Medley;The Beatles;25
13;1982;7;Nic nie boli;2 plus 1;24
13;1982;8;When the Smoke Is Going Down;Scorpions;23
13;1982;9;Kłopoty to jej specjalność;Martyna Jakubowicz;22
13;1982;10;When All Is Said and Done;ABBA;21
13;1982;11;Stone Cold;Rainbow;20
13;1982;12;Heat of the Moment;Asia;19
13;1982;13;Paranoja jest goła;Maanam;18
13;1982;14;Kombinat;Republika;17
13;1982;15;Tug of War;Paul McCartney;16
13;1982;16;Five Miles Out;Mike Oldfield;15
13;1982;17;Oprócz;Maanam;14
13;1982;18;Blue Eyes;Elton John;13
13;1982;19;Surrender;Jon Anderson;12
13;1982;20;Rosanna;Toto;11
13;1982;21;Fatamorgana '82;Urszula;10
13;1982;22;Cat People (Putting Out Fire);David Bowie;9
13;1982;23;Mała Lady Punk;Lady Pank;8
13;1982;24;Play the Game Tonight;Kansas;7
13;1982;25;Hungry Like the Wolf;Duran Duran;6
13;1982;26;Ribbon in the Sky;Stevie Wonder;5
13;1982;27;Paperlate;Genesis;4
13;1982;28;Hold Me;Fleetwood Mac;3
13;1982;29;Keep the Fire Burning;REO Speedwagon;2
13;1982;30;Spółka;TSA;1
14;1982;1;Abracadabra;The Steve Miller Band;30
14;1982;2;Karmazynowa noc;Izabela Trojanowska;29
14;1982;3;España Forever;Maanam;28
14;1982;4;Ostatni taniec;Lombard;27
14;1982;5;Las Palabras de Amor (The Words of Love);Queen;26
14;1982;6;No One Like You;Scorpions;25
14;1982;7;Five Miles Out;Mike Oldfield;24
14;1982;8;Fatamorgana '82;Urszula;23
14;1982;9;When All Is Said and Done;ABBA;22
14;1982;10;Oprócz;Maanam;21
14;1982;11;The Beatles Movie Medley;The Beatles;20
14;1982;12;Tug of War;Paul McCartney;19
14;1982;13;When the Smoke Is Going Down;Scorpions;18
14;1982;14;Kłopoty to jej specjalność;Martyna Jakubowicz;17
14;1982;15;Nic nie boli;2 plus 1;16
14;1982;16;Surrender;Jon Anderson;15
14;1982;17;Stone Cold;Rainbow;14
14;1982;18;Spółka;TSA;13
14;1982;19;Rosanna;Toto;12
14;1982;20;Heat of the Moment;Asia;11
14;1982;21;Mała Lady Punk;Lady Pank;10
14;1982;22;Keep the Fire Burning;REO Speedwagon;9
14;1982;23;Cat People (Putting Out Fire);David Bowie;8
14;1982;24;Play the Game Tonight;Kansas;7
14;1982;25;Hold Me;Fleetwood Mac;6
14;1982;26;Paperlate;Genesis;5
14;1982;27;Hungry Like the Wolf;Duran Duran;4
14;1982;28;Goody Two Shoes;Adam Ant;3
14;1982;29;Love Is in Control (Finger on the Trigger);Donna Summer;2
14;1982;30;Dorosłe dzieci;Turbo;1
15;1982;1;Karmazynowa noc;Izabela Trojanowska;30
15;1982;2;Abracadabra;The Steve Miller Band;29
15;1982;3;Las Palabras de Amor (The Words of Love);Queen;28
15;1982;4;Fatamorgana '82;Urszula;27
15;1982;5;España Forever;Maanam;26
15;1982;6;Five Miles Out;Mike Oldfield;25
15;1982;7;Ostatni taniec;Lombard;24
15;1982;8;Oprócz;Maanam;23
15;1982;9;Spółka;TSA;22
15;1982;10;No One Like You;Scorpions;21
15;1982;11;Tug of War;Paul McCartney;20
15;1982;12;When All Is Said and Done;ABBA;19
15;1982;13;The Beatles Movie Medley;The Beatles;18
15;1982;14;Rosanna;Toto;17
15;1982;15;When the Smoke Is Going Down;Scorpions;16
15;1982;16;Mała Lady Punk;Lady Pank;15
15;1982;17;Chcemy być sobą;Perfect;14
15;1982;18;Surrender;Jon Anderson;13
15;1982;19;Paperlate;Genesis;12
15;1982;20;Cat People (Putting Out Fire);David Bowie;11
15;1982;21;Keep the Fire Burning;REO Speedwagon;10
15;1982;22;Dorosłe dzieci;Turbo;9
15;1982;23;Hold Me;Fleetwood Mac;8
15;1982;24;Goody Two Shoes;Adam Ant;7
15;1982;25;Play the Game Tonight;Kansas;6
15;1982;26;Slow Dancer;Robert Plant;5
15;1982;27;Sole Survivor;Asia;4
15;1982;28;Love Is in Control (Finger on the Trigger);Donna Summer;3
15;1982;29;Eye of the Tiger;Survivor;2
15;1982;30;Avalon;Roxy Music;1
16;1982;1;Las Palabras de Amor (The Words of Love);Queen;30
16;1982;2;Five Miles Out;Mike Oldfield;29
16;1982;3;Karmazynowa noc;Izabela Trojanowska;28
16;1982;4;Fatamorgana '82;Urszula;27
16;1982;5;Spółka;TSA;26
16;1982;6;Abracadabra;The Steve Miller Band;25
16;1982;7;Oprócz;Maanam;24
16;1982;8;If You Want My Love;Cheap Trick;23
16;1982;9;España Forever;Maanam;22
16;1982;10;No One Like You;Scorpions;21
16;1982;11;Ostatni taniec;Lombard;20
16;1982;12;Mała Lady Punk;Lady Pank;19
16;1982;13;Chcemy być sobą;Perfect;18
16;1982;14;Tug of War;Paul McCartney;17
16;1982;15;Dorosłe dzieci;Turbo;16
16;1982;16;When All Is Said and Done;ABBA;15
16;1982;17;Paperlate;Genesis;14
16;1982;18;When the Smoke Is Going Down;Scorpions;13
16;1982;19;Cat People (Putting Out Fire);David Bowie;12
16;1982;20;Hold Me;Fleetwood Mac;11
16;1982;21;Keep the Fire Burning;REO Speedwagon;10
16;1982;22;Goody Two Shoes;Adam Ant;9
16;1982;23;Riding on the Wind;Judas Priest;8
16;1982;24;Slow Dancer;Robert Plant;7
16;1982;25;Sole Survivor;Asia;6
16;1982;26;Eye of the Tiger;Survivor;5
16;1982;27;Torch;Soft Cell;4
16;1982;28;Play the Game Tonight;Kansas;3
16;1982;29;W domach z betonu nie ma wolnej miłości;Martyna Jakubowicz;2
16;1982;30;Avalon;Roxy Music;1
17;1982;1;Five Miles Out;Mike Oldfield;30
17;1982;2;If You Want My Love;Cheap Trick;29
17;1982;3;Chcemy być sobą;Perfect;28
17;1982;4;Fatamorgana '82;Urszula;27
17;1982;5;Las Palabras de Amor (The Words of Love);Queen;26
17;1982;6;Karmazynowa noc;Izabela Trojanowska;25
17;1982;7;Spółka;TSA;24
17;1982;8;Oprócz;Maanam;23
17;1982;9;España Forever;Maanam;22
17;1982;10;Mała Lady Punk;Lady Pank;21
17;1982;11;Abracadabra;The Steve Miller Band;20
17;1982;12;Dorosłe dzieci;Turbo;19
17;1982;13;State of Independence;Donna Summer;18
17;1982;14;Paperlate;Genesis;17
17;1982;15;W domach z betonu nie ma wolnej miłości;Martyna Jakubowicz;16
17;1982;16;Hold Me;Fleetwood Mac;15
17;1982;17;Dream On;Nazareth;14
17;1982;18;No One Like You;Scorpions;13
17;1982;19;Keep the Fire Burning;REO Speedwagon;12
17;1982;20;Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha;Trio;11
17;1982;21;Riding on the Wind;Judas Priest;10
17;1982;22;Anna już tu nie mieszka;Halina Frąckowiak;9
17;1982;23;Jeszcze czekam;Exodus;8
17;1982;24;Slow Dancer;Robert Plant;7
17;1982;24;Moonlight in Samosa;Robert Plant;7
17;1982;25;Torch;Soft Cell;6
17;1982;26;Sole Survivor;Asia;5
17;1982;27;East Valencia Drive;Anex;4
17;1982;28;Play On;Kansas;3
17;1982;29;Avalon;Roxy Music;2
17;1982;30;Goody Two Shoes;Adam Ant;1
18;1982;1;Five Miles Out;Mike Oldfield;30
18;1982;2;Dorosłe dzieci;Turbo;29
18;1982;3;If You Want My Love;Cheap Trick;28
18;1982;4;Chcemy być sobą;Perfect;27
18;1982;5;W domach z betonu nie ma wolnej miłości;Martyna Jakubowicz;26
18;1982;6;Fatamorgana '82;Urszula;25
18;1982;7;Las Palabras de Amor (The Words of Love);Queen;24
18;1982;8;Dream On;Nazareth;23
18;1982;9;Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha;Trio;22
18;1982;10;State of Independence;Donna Summer;21
18;1982;11;Hold Me;Fleetwood Mac;20
18;1982;12;Paperlate;Genesis;19
18;1982;13;Keep the Fire Burning;REO Speedwagon;18
18;1982;14;Karmazynowa noc;Izabela Trojanowska;17
18;1982;15;Jeszcze czekam;Exodus;16
18;1982;16;Torch;Soft Cell;15
18;1982;17;Anna już tu nie mieszka;Halina Frąckowiak;14
18;1982;18;Oprócz;Maanam;13
18;1982;19;Moonlight in Samosa;Robert Plant;12
18;1982;20;Mała Lady Punk;Lady Pank;11
18;1982;21;Sole Survivor;Asia;10
18;1982;22;Play On;Kansas;9
18;1982;23;Avalon;Roxy Music;8
18;1982;24;Eye of the Tiger;Survivor;7
18;1982;25;Nie bój się tego wszystkiego;Perfect;6
18;1982;26;The Look of Love;ABC;5
18;1982;27;East Valencia Drive;Anex;4
18;1982;28;Vacation;Go-Go's;3
18;1982;29;Boogie dziadka Skiby;Kasa Chorych;2
18;1982;30;No Regrets;Midge Ure;1
19;1982;1;Dorosłe dzieci;Turbo;30
19;1982;2;W domach z betonu nie ma wolnej miłości;Martyna Jakubowicz;29
19;1982;3;Five Miles Out;Mike Oldfield;28
19;1982;4;Chcemy być sobą;Perfect;27
19;1982;5;Dream On;Nazareth;26
